กก	gok
ค็อนกีด	khɔn.gi:t
ค็อนโด	khon.do:
ค็อม	khom
ค็อมพิวเต้อ	khom.piu.tə:
ค่อย	khɔ:i
ค่า	kha:
ค่าวๆ	kha:o
ค่ำ	kham
ค้อย	khɔ:i
ค้า	kha:
ค้าง	kha:ŋ
ค้าย	kha:i
ค้าวๆ	kha:o.kha:o
งวง	ŋu:aŋ
งอ	ŋɔ:
งัด	ŋat
งับ	ŋap
งัว	ŋu:a
งา	ŋa:
งาน	ŋa:n
งาม	ŋa:m
ง่า	ŋa:
ง่าย	ŋa:i
จก	jok
จดจำ	jot.jam
จน	jon
จบ	jop
จอ	jɔ:
จอด	jɔ:t
จะ	ja
จะเลิน	ja.lə:n
จัก	jak
จักกะย๊าน	jak.ga.ya:n
จักอย่าง	jak.ya:ŋ
จังหวะ	jaŋ.wa
จังหวัด	jaŋ.wat
จัด	jat
จับ	jap
จั่ง	jaŋ
จั่งซั้น	jaŋ.san
จั่งซี้	jaŋ.si:
จั่งใด	jaŋ.dai
จา	ja:
จาก	ja:k
จาน	ja:n
จานฮองกาแฟ	ja:n.hɔ:ŋ.ga:.fɛ:
จำ	jam
จำนวน	jam.nu:an
จำเป็น	jam.pen
จิก	jik
จิง	jiŋ
จินตะนา	jin.ta.na:
จินตะนากาน	jin.ta.na:.ga:n
จิ้ม	jim
จีวอน	ji:.wɔ:n
จึ่งคื่ง	jʉŋ.khʉ:ŋ
จืด	jʉ:t
จุก	juk
จุด	jut
จุดมุ่งหมาย	jut.muŋ.ma:i
จุดหมาย	jut.ma:i
จุ่นพู่น	jun.phu:n
จุ่ม	jum
จ่ง	joŋ
จ่อย	jɔ:i
จ่าย	ja:i
จ้อง	jɔŋ
จ้อย	jɔ:i
จ้า	ja:
ชะนิด	cha.nit
ชักกะเย้อ	chak.ga.yə:
ชักโคก	chak.kho:k
ชาว	cha:o
ชาวบ้าน	cha:o.ba:n
ซง	soŋ
ซงผม	soŋ.phom
ซงสี	soŋ.si:
ซม	som
ซมพู	som.phu:
ซวน	su:an
ซวย	su:ai
ซอก	sɔ:k
ซอง	sɔ:ŋ
ซะนะ	sa.na
ซะสั้น	sa.san
ซัก	sak
ซัด	sat
ซัน	san
ซัว	su:a
ซั่ง	saŋ
ซั่วคาว	su:a.kha:o
ซั่วโมง	su:a.mo:ŋ
ซั้น	san
ซั้นวางหนังสือ	san.wa:ŋ.naŋ.sʉ:
ซาน	sa:n
ซานซาลา	sa:n.sa:.la:
ซาย	sa:i
ซายหาด	sa:i.ha:t
ซาว	sa:o
ซำบาย	sam.ba:i
ซิด	sit
ซิม	sim
ซิ้น	sin
ซิ้นเนี้ย	sin.ni:a
ซีวิด	si:.wit
ซี้	si:
ซื่อ	sʉ:
ซื่อๆ	sʉ:
ซื้อ	sʉ:
ซุด	sut
ซุดโซม	sut.so:m
ซุม	sum
ซูด	su:t
ซู่	su:
ซู่มื้อนี้	su:.mʉ:.ni:
ซู่สิ่งซู่อย่าง	su:.siŋ.su:.ya:ŋ
ซ่อก	sɔk
ซ่อย	sɔ:i
ซ่อยเหลีย	sɔ:i.li:a
ซ่าง	sa:ŋ
ซ่างตัดผม	sa:ŋ.tat.phom
ซ่าด	sa:t
ซ่าว่า	sa:.wa:
ซ้วง	su:aŋ
ซ้วน	su:an
ซ้อง	sɔ:ŋ
ซ้อน	sɔ:n
ซ้อนซา	sɔ:n.sa:
ซ้อนส้อม	sɔ:n.sɔm
ซ้า	sa:
ซ้าง	sa:ŋ
ซ้าย	sa:i
ซ้ำ	sam
ซ้ำแมะ	sam.mɛ
ญก	ɲok
ญัง	ɲaŋ
ญาก	ɲa:k
ญาด	ɲa:t
ญาม	ɲa:m
ญาว	ɲa:o
ญิง	ɲiŋ
ญุง	ɲuŋ
ญู้	ɲu:
ญ่าง	ɲa:ŋ
ญ้อง	ɲɔ:ŋ
ญ้อน	ɲɔ:n
ญ้อย	ɲɔ:i
ญ้าย	ɲa:i
ดง	doŋ
ดม	dom
ดวง	du:aŋ
ดวงจัน	du:aŋ.jan
ดวงดาว	du:aŋ.da:o
ดวงตะเว็น	du:aŋ.ta.wen
ดอก	dɔ:k
ดอกบัว	dɔ:k.bu:a
ดอกวา	dɔ:k.wa:
ดอกว่า	dɔ:k.wa:
ดอกไม้	dɔ:k.mai
ดัง	daŋ
ดับ	dap
ดาก	da:k
ดาว	da:o
ดำ	dam
ดำนา	dam.na:
ดำไฮ่ดำนา	dam.hai.dam.na:
ดิน	din
ดิบ	dip
ดิ้น	din
ดี	di:
ดีใจ	di:.jai
ดึก	dʉk
ดึง	dʉŋ
ดืน	dʉ:n
ดุ	du
ดุล้าย	du.la:i
ดู	du:
ดูด	du:t
ดูแล	du:.lɛ:
ด่า	da:
ด้น	don
ด้วย	du:ai
