กก	gok
มื้อหลัง	mʉ:.laŋ
มื้ออื่น	mʉ:.ʉ:n
มื้อฮือ	mʉ:.hʉ:
มื้อเซ้า	mʉ:.sao
มื้อเว็น	mʉ:.wen
มื้อแก้ง	mʉ:.gɛ:ŋ
มื้อแลง	mʉ:.lɛ:ŋ
มุง	muŋ
มุด	mut
มุม	mum
มุ่น	mun
ม่น	mon
ม่วน	mu:an
ม่ำ	mam
ม้า	ma:
ยอก	yɔ:k
ยัง	yaŋ
ยา	ya:
ยาง	ya:ŋ
ยาดโย๊ม	ya:t.yo:m
ยานพาหะนะ	ya:n.pha:.ha.na
ยาสีฟัน	ya:.si:.fan
ยินดี	yin.di:
ยิ้ม	yim
ยี่ห้อ	yi:.hɔ:
ยี้บ	yi:p
ยี้สิบ	yi:.sip
ยี้ฮ้อ	yi:.hɔ:
ยืน	yʉ:n
ยื่น	yʉ:n
ย่อน	yɔn
ย้าง	ya:ŋ
ย้าน	ya:n
ย๊น	yon
ลง	loŋ
ลงทุน	loŋ.thun
ลด	lot
ลดกะบะ	lot.ga.ba
ลดขนของ	lot.khon.khɔ:ŋ
ลดซาด	lot.sa:t
ลดตุ่กตุ่ก	lot.tuk.tuk
ลดตู้	lot.tu:
ลดบันทุก	lot.ban.thuk
ลดบั่ด	lot.bat
ลดปะจำทาง	lot.pa.jam.tha:ŋ
ลดพิกอั่บ	lot.phik.ap
ลดยน	lot.yon
ลดลับส่ง	lot.lap.soŋ
ลดสามล้อ	lot.sa:m.lɔ:
ลดสิบล้อ	lot.sip.lɔ:
ลดเก็ง	lot.geŋ
ลดเข็น	lot.khen
ลดเม	lot.me:
ลดแท็กซี้	lot.thɛk.si:
ลดโลงบาน	lot.lo:ŋ.ba:n
ลดโลงพะยาบาน	lot.lo:ŋ.pha.ya:.ba:n
ลดไถ	lot.thai
ลดไฟ	lot.fai
ลบ	lop
ลม	lom
ลวก	lu:ak
ลวดลาย	lu:at.la:i
ลวม	lu:am
ลวย	lu:ai
ลอง	lɔ:ŋ
ลองเท้าผ้าใบ	lɔ:ŋ.thao.pha:.bai
ลอด	lɔ:t
ลอบ	lɔ:p
ลอย	lɔ:i
ละ	la
ละคอน	la.khɔ:n
ละงับ	la.ŋap
ละบาย	la.ba:i
ละยะ	la.ya
ละลาย	la.la:i
ละวัง	la.waŋ
ละว่าง	la.wa:ŋ
ละเกะละกะ	la.ge.la.ga
ละเบียง	la.bi:aŋ
ละเบียบ	la.bi:ap
ละเหย	la.hə:i
ละเหล้น	la.len
ละแวก	la.wɛ:k
ลัก	lak
ลักสะนะ	lak.sa.na
ลักสา	lak.sa:
ลัง	laŋ
ลับ	lap
ลับจ้าง	lap.ja:ŋ
ลับลู้	lap.lu:
ลับส่ง	lap.soŋ
ลาก	la:k
ลาคา	la:.kha:
ลาง	la:ŋ
ลาด	la:t
ลาน	la:n
ลายกาน	la:i.ga:n
ลายได้	la:i.dai
ลาว	la:o
ลาวๆ	la:o.la:o
ลำ	lam
ลำคาน	lam.kha:n
ลำต้น	lam.ton
ลำโต	lam.to:
ลำโพง	lam.pho:ŋ
ลำไย	lam.yai
ลำไส้	lam.sai
ลิง	liŋ
ลิน	lin
ลิบบิ้น	lip.bin
ลิ้น	lin
ลิ้นชัก	lin.chak
ลีโหมด	li:.mo:t
ลีไซเคิน	li:.sai.kən
ลี้	li:
ลึก	lʉk
ลึดู	lʉ.du:
ลึดูฝน	lʉ.du:.fon
ลึดูฮ้อน	lʉ.du:.hɔ:n
ลึดูแล้ง	lʉ.du:.lɛ:ŋ
ลืม	lʉ:m
ลุก	luk
ลุง	luŋ
ลุน	lun
ลุล่วง	lu.lu:aŋ
ลุ้น	lun
ลูก	lu:k
ลูกกก	lu:k.gok
ลูกค้า	lu:k.kha:
ลูกซาย	lu:k.sa:i
ลูกซิ้น	lu:k.sin
ลูกบอน	lu:k.bɔ:n
ลูกสอน	lu:k.sɔ:n
ลูกสาว	lu:k.sa:o
ลูกหวีด	lu:k.wi:t
ลูบ	lu:p
ลูบพาบ	lu:p.phap
ลูบพาบถ่าย	lu:p.pha:p.tha:i
ลูบลัก	lu:p.lak
ลูบแบบ	lu:p.bɛ:p
ลู้	lu:
ลู้จัก	lu:.jak
ลู้สึก	lu:.sʉk
ล็อก	lɔk
ล่วมกัน	lu:am.gan
ล้น	lon
ล้อ	lɔ:
ล้อง	lɔ:ŋ
ล้อม	lɔ:m
ล้อมลอบ	lɔ:m.lɔ:p
ล้อย	lɔ:i
ล้า	la:
ล้าง	la:ŋ
ล้างกาย	la:ŋ.ga:i
ล้าน	la:n
ล้านขายของ	la:n.kha:i.khɔ:ŋ
ล้านตัดผม	la:n.tat.phom
ล้านอาหาน	la:n.a:.ha:n
ล้านแนวกิน	la:n.nɛ:o.gin
ล้าย	la:i
วง	woŋ
วงกม	woŋ.gom
วงเล็บ	woŋ.lep
วะสั้น	wa.san
วัด	wat
วัดทะนะทัม	wat.tha.na.tham
วัน	wan
วันจัน	wan.jan
วันพะ	wan.pha
วันพะลึหัด	wan.pha.lʉ.hat
วันพุด	wan.phut
วันสุก	wan.suk
วันอังคาน	wan.aŋ.kha:n
วันอาทิด	wan.a:.thit
วันเกิด	wan.gə:t
วันเสา	wan.sao
วัย	wai
วัยทอง	wai.thɔ:ŋ
วัยลุ้น	wai.lun
วั่งหั้น	waŋ.han
วา	wa:
วาง	wa:ŋ
วาจา	wa:.ja:
วาด	wa:t
วิชา	wi.cha:
วิดีโอ	wi.di:.o:
วิทะยุ	wi.tha.yu
วิที	wi.thi:
วินาที	wi.na:.thi:
ว่า	wa:
ว่าแต่	wa:.tɛ:
ว้อ	wɔ:
ว้าง	wa:ŋ
สกกะปก	sok.ga.pok
สงคาม	soŋ.kha:m
สงสัย	soŋ.sai
สด	sot
สดซื้น	sot.sʉ:n
สดใส	sot.sai
สนทะนา	son.tha.na:
สบ	sop
สมมุด	som.mut
สวด	su:at
สวน	su:an
สวนสัด	su:an.sat
สอก	sɔ:k
สอง	sɔ:ŋ
สอด	sɔ:t
สอน	sɔ:n
สอบ	sɔ:p
สะ	sa
สะดวก	sa.du:ak
สะดุด	sa.dut
สะถานที่	sa.tha:n.ti:
สะถานะกาน	sa.tha:.na.ga:n
สะถานี	sa.tha:.ni:
สะบาย	sa.ba:i
สะบู	sa.bu:
สะพาน	sa.pha:n
สะพาย	sa.pha:i
สะมะแจะ	sa.ma.jɛ
สะมาชิก	sa.ma:.chik
สะวิด	sa.wit
สะหนาม	sa.na:m
สะหนามกีลา	sa.na:m.gi:.la:
สะหนิด	sa.nit
สะหมอง	sa.mɔ:ŋ
สะหมัย	sa.mai
สะหมุด	sa.mut
สะหมุนไพ	sa.mun.phai
สะหลิด	sa.lid
สะหลึง	sa.lʉŋ
สะหลุบ	sa.lup
สะหวัดดี	sa.wat.di:
สะหว่าง	sa.wa:ŋ
สะหว้ายน้ำ	sa.wa:i.na:m
สะออน	sa.ɔ:n
สะอาด	sa.a:t
สะอาดหูสะอาดตา	sa.a:t.hu:.sa.a:t.ta:
สะแดง	sa.dɛ:ŋ
สักสิด	sak.sit
สังสัน	saŋ.san
สัด	sat
สัดเคิ่งบกเคิ่งน้ำ	sat.khəŋ.bok.khəŋ.na:m
สัดเลี้ยง	sat.li:aŋ
สัน	san
สันญะลัก	san.ɲa.lak
สันญาน	san.ɲa:n
สันยะกัม	san.ya.gam
สับ	sap
สั่ง	saŋ
สั่น	san
สั้น	san
สาก	sa:k
สาด	sa:t
สาม	sa:m
สามสิบ	sa:m.sip
สามาด	sa:.ma:t
สามเหลี่ยม	sa:m.li:am
สามแย้ก	sa:m.yɛ:k
สาย	sa:i
สายไฟ	sa:i.fai
สาละ	sa:.la
สาละคะดี	sa:.la.ka.di:
สาลา	sa:.la:
สาลาวัด	sa:.la:.wat
สาสะนา	sa:.sa.na:
สาสะนาพุด	sa:.sa.na:.phut
สำคัน	sam.khan
สำลอง	sam.lɔ:ŋ
สำหลับ	sam.lap
สิ	si
สิงหาคม	siŋ.ha:.khom
สิบ	sip
สิ่ง	siŋ
สิ่งของ	siŋ.khɔ:ŋ
สิ้น	sin
สี	si:
สีก	si:k
สีดยา	si:t.ya:
สีตับหมู	si:.tap.mu:
สีน	si:n
สีสัน	si:.san
สีหน้า	si:.na:
สีหน้าสีตา	si:.na:.si:.ta:
สี่	si:
สี่สิบ	si:.sip
สี่เหลี่ยม	si:.li:am
สึกสา	sʉk.sa:
สึม	sʉm
สุก	suk
สุกขะพาบ	suk.kha.pha:p
สุข	suk
สุด	sut
สุดท้อง	sut.thɔ:ŋ
สุบ	sup
สุพาบ	su.pha:p
สูง	su:ŋ
สูด	su:t
สูน	su:n
สูบ	su:p
สู่	su:
สู้	su:
ส่ง	soŋ
ส่วน	su:an
ส่วนปะกอบ	su:an.pa.gɔ:p
ส่วนมาก	su:an.ma:k
ส่วนหน้อย	su:an.nɔ:i
ส่วนหลาย	su:an.la:i
ส่วนโต	su:an.to:
ส่อง	sɔŋ
ส่าย	sa:i
ส่ำ	sam
ส่ำนั้น	sam.nan
ส่ำนี้	sam.ni:
ส้ง	soŋ
ส้น	son
ส้ม	som
ส้มตำ	som.tam
ส้อม	sɔm
ส้อมแซม	sɔm.sɛ:m
ส้อย	sɔ:i
ส้าง	sa:ŋ
หก	hok
หงอก	ŋɔ:k
หงอน	ŋɔ:n
หญอง	ɲɔŋ
หญัง	ɲaŋ
หญุ้ง	ɲuŋ
หญุ้งญาก	ɲuŋ.ɲa:k
หญ้ม	ɲom
หญ้า	ɲa:
หนทาง	hon.tha:ŋ
หนวด	nu:at
หนอง	nɔ:ŋ
หนะ	na
หนัก	nak
หนัง	naŋ
หนังสือ	naŋ.sʉ:
หนังสือพิม	naŋ.sʉ:.phim
หนั้น	nan
หนั้นหละ	nan.la
หนา	na:
หนาว	na:o
หนิ	ni
หนิหละ	ni.la
หนี	ni:
หนีบ	ni:p
หนี้	ni:
หนึ่ง	nʉŋ
หนุ่ม	num
หน่อย	nɔ:i
หน่อยหนึ่ง	nɔ:i.nʉŋ
หน่อยเดียว	nɔ:i.di:ao
หน้อย	nɔ:i
หน้า	na:
หน้าจอ	na:.jɔ:
หน้าจะ	na:.ja
หน้าตา	na:.ta:
หน้าต่าง	na:.ta:ŋ
หน้าที่	na:.thi:
หน้าผาก	na:.pha:k
หน้าฝน	na:.fon
หน้าหนาว	na:.na:o
หน้าฮ้อน	na:.hɔ:n
หน้าเอิก	na:.ək
หน้าแล้ง	na:.lɛ:ŋ
หมวก	mu:ak
หมวกกันน็อก	mu:ak.gan.nɔk
หมอ	mɔ:
หมอง	mɔ:ŋ
หมอน	mɔ:n
หมอฟัน	mɔ:.fan
หมั้น	man
หมั้นใจ	man.jai
หมา	ma:
หมากไม้	ma:k.mai
หมาด	ma:t
หมายความ	ma:i.khwa:m
หมายถึง	ma:i.thʉŋ
หมื่น	mʉ:n
หมุน	mun
หมู	mu:
หมู่	mu:
หมู่บ้าน	mu:.ba:n
หม้น	mon
หม้อ	mɔ:
หม้อง	mɔŋ
หยาบ	ya:p
หยิบ	yip
หยุด	yut
หลก	lok
หลงเหลีย	loŋ.li:a
หลบ	lop
หลบซ้อน	lop.sɔn
หลอด	lɔ:t
หละ	la
หลัก	lak
หลักอากาด	lak.a:.ga:t
หลัง	laŋ
หลังกะสี	laŋ.ga.si:
หลังคา	laŋ.ka:
หลังจาก	laŋ.ja:k
หลับ	lap
หลาน	la:n
หลาย	la:i
หลายสิ่งหลายอย่าง	la:i.siŋ.la:i.ya:ŋ
หลายเติบ	la:i.tə:p
หลือ	lʉ:
หลุด	lut
หลุดมือ	lut.mʉ:
หลุม	lum
หล่น	lon
หล่อ	lɔ:
หล่อเลี้ยง	lɔ:.li:aŋ
หล้า	la:
หวอ	wɔ:
หวัดดี	wat.di:
หวาน	wa:n
หวี	wi:
หว่าน	wa:n
หว้าย	wa:i
หว้ายน้ำ	wa:i.na:m
หอ	hɔ:
หอบ	hɔ:p
หอม	hɔ:m
หอมหัวแดง	hɔ:m.hu:a.dɛ:ŋ
หอั้น	an
หัก	hak
หัน	han
หันใจ	han.jai
หัว	hu:a
หัวขวัน	hu:a.kwan
หัวล้อ	hu:a.lɔ:
หัวหน้า	hu:a.na:
หัวหอม	hu:a.hɔ:m
หัวเข่า	hu:a.khao
หัวเตอะหัวเติน	hu:a.tə.hu:a.tə:n
หัวใจ	hu:a.jai
หั่น	han
หั้น	han
หา	ha:
หาง	ha:ŋ
หาย	ha:i
หายใจ	ha:i.jai
หิน	hin
หิว	hiu
หิ้ว	hiu
หุ่น	hun
หุ้ม	hum
หู	hu:
หูจับ	hu:.jap
หูฟัง	hu:.faŋ
หูหนวก	hu:.nu:ak
ห่ม	hom
ห่อ	hɔ:
ห่าง	ha:ŋ
ห้อง	hɔŋ
ห้องนอน	hɔŋ.nɔ:n
ห้องน้ำ	hɔŋ.na:m
ห้องสะหมุด	hɔŋ.sa.mut
ห้องเลียน	hɔŋ.li:an
ห้อย	hɔ:i
ห้า	ha:
ห้าง	ha:ŋ
ห้าสิบ	ha:.sip
อก	ok
อง	oŋ
องสา	oŋ.sa:
อบอุ่น	op.un
อยาก	ya:k
อยากหัว	ya:k.hu:a
อยู่	yu:
อย่า	ya:
อย่าง	ya:ŋ
อย่างหลาย	ya:ŋ.la:i
อย่างเซ้น	ya:ŋ.sen
อย่างเดียว	ya:ŋ.di:ao
ออก	ɔ:k
ออกกำลังกาย	ɔ:k.gam.laŋ.ga:i
ออนสอน	ɔ:n.sɔ:n
อะดีด	a.di:t
อะทิดถาน	a.thit.tha:n
อะทิบาย	a.thi.ba:i
อะนาคด	a.na:.khot
อะพิทัม	a.phi.tham
อะวัยยะวะ	a.wai.ya.wa
อักสน	ak.sɔ:n
อังกิด	aŋ.git
อัด	at
อัน	an
อันตะลาย	an.ta.la:i
อันแต่ว่า	an.tɛ:.wa:
อับ	ap
อา	a:
อากาด	a:.ga:t
อากาน	a:.ga:n
อาจาน	a:.ja:n
อาซีบ	a:.si:p
อาด	a:t
อาดจะ	a:t.ja
อาทิ	a:.thi
อาทิด	a:.thit
อาบ	a:p
อาบน้ำ	a:p.na:m
อายุ	a:.yu
อาลม	a:.lom
อาวุโส	a:.wu.so:
อาสัย	a:.sai
อาหาน	a:.ha:n
อำเพอ	am.phə:
อิด	it
อิ่จิ่หนึ่ง	i.ji.nʉŋ
อิ่ม	im
อีก	i:k
อี่ปู	i:.pu:
อี่สาน	i:.sa:n
อี่หยัง	i:.yaŋ
อี่หลี	i:.li:
อี่หลีอี่หลอ	i:.li:.i:.lɔ:
อี่หล้า	i:.la:
อี่เกิ้ง	i:.gə:ŋ
อี่แม่	i:.mɛ:
อึ้งตึ้ง	ʉŋ.tʉŋ
อึ้มคึ้ม	ʉm.khʉm
อื่น	ʉ:n
อุดมสมบูน	u.dom.som.bu:n
อุบะติเหด	u.ba.ti.he:t
อุปะกอน	u.pa.gɔ:n
อุ่น	un
อุ้ม	um
อุ้ย	ui
อุ้ยปุ้ย	ui.pui
อ่มๆ	om
อ่วย	u:ai
อ่องต่อง	ɔŋ.tɔŋ
อ่อน	ɔ:n
อ่าง	a:ŋ
อ่างล้างหน้า	a:ŋ.la:ŋ.na:
อ่าน	a:n
อ่ามล่าม	a:m.la:m
อ้วน	u:an
อ้อม	ɔ:m
อ้อยต้อย	ɔ:i.tɔ:i
อ้า	a:
อ้าย	a:i
ฮวมกัน	hu:am.gan
ฮอง	hɔ:ŋ
ฮอด	hɔ:t
ฮอย	hɔ:i
ฮัก	hak
ฮับ	hap
ฮั่ว	hu:a
ฮั้ว	hu:a
ฮาก	ha:k
ฮาน	ha:n
ฮาว	ha:o
ฮำ	ham
ฮึ	hʉ
ฮึ่มๆ	hʉm
ฮุ	hu
ฮุ่ง	huŋ
ฮูด	hu:t
ฮู้	hu:
ฮู้จัก	hu:.jak
ฮู้สึก	hu:.sʉk
ฮู้สึกโต	hu:.sʉk.to:
ฮ่ม	hom
ฮ่อน	hɔn
ฮ้อง	hɔ:ŋ
ฮ้องไห้	hɔ:ŋ.hai
ฮ้อน	hɔ:n
ฮ้าง	ha:ŋ
ฮ้าน	ha:n
ฮ้าย	ha:i
เก	ge:
เกม	ge:m
เกสอน	ge:.sɔ:n
เกะกะ	ge.ga
เกาะ	gɔ
เกิด	gə:t
เกิน	gə:n
เกินเหด	gə:n.he:t
เกิบ	gə:p
เกิบคีบ	gə:p.khi:p
เกิบผ้าใบ	gə:p.pha:.bai
เกิบแตะ	gə:p.tɛ
เกิบโบก	gə:p.bo:k
เกีย	gi:a
เกียก	gi:ak
เกียบ	gi:ap
เกี่ยว	gi:ao
เกี่ยวกับ	gi:ao.gap
เกี้ยง	gi:aŋ
เกี้ยงมิ่นลิ่น	gi:aŋ.min.lin
เกี้ยงเกา	gi:aŋ.gao
เก็ด	get
เก็บ	gep
เก่ง	geŋ
เก่ด	get
เก่า	gao
เก้า	gao
เก้าอี้	gao.i:
เขา	khao
เขียน	khi:an
เขียว	khi:ao
เข็ม	khem
เข่า	khao
เข้ง	kheŋ
เข้ม	khem
เข้า	khao
เข้างาย	khao.ŋa:i
เข้าสวย	khao.su:ai
เข้าสาน	khao.sa:n
เข้าเจ้า	khao.jao
เข้าเซ้า	khao.sao
เข้าแลง	khao.lɛ:ŋ
เคย	khə:i
เคา	khao
เคาลบ	khao.lop
เคาเต้อ	khao.tə:
เคิ่ง	khəŋ
เคียง	khi:aŋ
เคียด	khi:at
เคี่ยง	khi:aŋ
เคี่ยงคิดเลข	khi:aŋ.kit.le:k
เคี่ยงญก	khi:aŋ.ɲok
เคี่ยงบิน	khi:aŋ.bin
เคี่ยงปุง	khi:aŋ.puŋ
เคี่ยงสำอาง	khi:aŋ.sam.a:ŋ
เคี้ยงหมาย	khi:aŋ.ma:i
เคื้อนที้	khʉ:an.thi:
เค็ม	khem
เค่งเคียด	kheŋ.khi:at
เงิน	ŋən
เงินสด	ŋən.sot
เจดี	je:.di:
เจ็ด	jet
เจ็บ	jep
เจ้า	jao
เจ้าของ	jao.khɔ:ŋ
เช็ค	chek
เซา	sao
เซียก	si:ak
เซี้ยม	si:am
เซี้ยวซาน	si:ao.sa:n
เซี้ยโลก	si:a.lo:k
เซื้อเพิง	sʉ:a.phə:ŋ
เซเว้น	se:.wen
เซ็ก	sek
เซ็ด	set
เซ้น	sen
เซ้า	sao
เญี่ย	ɲi:a
เญี่ยว	ɲi:ao
เญ็บ	ɲep
เดา	dao
เดินทาง	də:n.tha:ŋ
เดิ่น	də:n
เดียน	di:an
เดียว	di:ao
เดียวกัน	di:ao.gan
เด็ก	dek
เด็กน้อย	dek.nɔ:i
เด็กเสิบ	dek.sə:p
เด่	de:
เด่ะ	de
เด้อ	də:
เด๊	de:
เตะ	te
เตา	tao
เติบ	tə:p
เติม	tə:m
เตียง	ti:aŋ
เตียม	ti:am
เตี้ย	ti:a
เตือน	tʉ:an
เตือนสะติ	tʉ:an.sa.ti
เต็น	ten
เต็ม	tem
เต็มปี้ลี้	tem.pi:.li:
เต่า	tao
เต้น	ten
เถียง	thi:aŋ
เถ้า	thao
เท	the:
เทา	thao
เทิง	thə:ŋ
เทิงเบิด	thə:ŋ.bət
เทียน	thi:an
เที่ย	thi:a
เที่ยง	thi:aŋ
เที่ยงคืน	thi:aŋ.khʉ:n
เที่ยว	thi:ao
เท่า	thao
เท่านั้น	thao.nan
เท่านี้	thao.ni:
เท่าใด	thao.dai
เนาะ	nɔ
เนิน	nə:n
เนินเขา	nə:n.khao
เนี้ย	ni:a
เนี้ยง	ni:aŋ
เนื้อหา	nʉ:a.ha:
เน่า	nao
เบก	be:k
เบา	bao
เบาหวาน	bao.wa:n
เบาะ	bɔ
เบาะนั่ง	bɔ.naŋ
เบิด	bət
เบิดมื้อเบิดค่ำ	bət.mʉ:.bət.kham
เบิ่ง	bəŋ
เบิ่งแญง	bəŋ.ɲɛ:ŋ
เบิ้น	bən
เบีย	bi:a
เป	pe:
เปวไฟ	pe:o.fai
เปิด	pə:t
เปียก	pi:ak
เปียง	pi:aŋ
เปียบเทียบ	pi:ap.thi:ap
เปี่ยง	pi:aŋ
เปี่ยน	pi:an
เปี่ยย	pi:ai
เปี้ยน	pi:an
เปี้ยว	pi:ao
เป็ด	pet
เป็น	pen
เป็นที่เป็นทาง	pen.thi:.pen.tha:ŋ
เป่ง	peŋ
เป่า	pao
เป้าหมาย	pao.ma:i
เผา	phao
เผี้ย	phi:a
เผ็ด	phet
เฝ้า	fao
เพ	phe:
เพง	phe:ŋ
เพงซาด	phe:ŋ.sa:t
เพดาน	phe:.da:n
เพน	phe:n
เพาะว่า	phɔ.wa:
เพาะสะนั้นแล้ว	phɔ.sa.nan.lɛ:o
เพิง	phə:ŋ
เพิดเพิน	phə:t.phə:n
เพิ่น	phən
เพิ้ม	phə:m
เพีย	phi:a
เพียง	phi:aŋ
เพี่ย	phi:a
เพื่อ	phʉ:a
เพื่อที่	phʉ:a.thi:
เพ็ด	phet
เฟอนิเจอ	fə:.ni.jə:
เฟียง	fi:aŋ
เมสา	me:.sa:
เมสาย๊น	me:.sa:.yon
เมา	mao
เมีย	mi:a
เมียง	mi:aŋ
เมียงหลวง	mi:aŋ.lu:aŋ
เมี่ยย	mi:ai
เมี้ยน	mi:an
เม็ด	met
เม็ดพัน	met.phan
เม้ม	mem
เย็น	yen
เลข	le:k
เลน	le:n
เลย	lə:i
เลว	le:o
เลาะ	lɔ
เลิก	lə:k
เลิ้ม	lə:m
เลีย	li:a
เลียก	li:ak
เลียง	li:aŋ
เลียด	li:at
เลียน	li:an
เลียบ	li:ap
เลียบล้อย	li:ap.lɔ:i
เลี่ยง	li:aŋ
เลี้ยง	li:aŋ
เลี้ยน	li:an
เลี้ยยๆ	li:ai
เล็ก	lek
เล็บ	lep
เล็บตีน	lep.ti:n
เล็ว	leo
เวลา	we:.la:
เวียดนาม	vi:at.na:m
เว้า	wao
เว้าพื้น	wao.phʉ:n
เสด	se:t
เสย	sə:i
เสา	sao
เสิบ	sə:p
เสิมสวย	sə:m.su:ai
เสีย	si:a
เสียง	si:aŋ
เสียงดัง	si:aŋ.daŋ
เสียบ	si:ap
เสียหลัก	si:a.lak
เสียหาย	si:a.ha:i
เสียใจ	si:a.jai
เสี่ยง	si:aŋ
เสี้ย	si:a
เสี้ยผ้า	si:a.pha:
เสี้ยยื้ด	si:a.yʉ:t
เสี้ยว	si:ao
เสี้ยเกาะอก	si:a.gɔ.ok
เส็ด	set
เส้น	sen
เส้า	sao
เหงียก	ŋi:ak
เหงี่ย	ŋi:a
เหด	he:t
เหดกาน	he:t.ga:n
เหดผน	he:t.phon
เหดล้าย	he:t.la:i
เหน้ก	nek
เหมาะสม	mɔ.som
เหมิกเถิก	mə:k.thə:k
เหม็น	men
เหม้	me:
เหยียด	yi:at
เหยียบ	yi:ap
เหลว	le:o
เหลีย	li:a
เหลียง	li:aŋ
เหลียน	li:an
เหลียว	li:ao
เหลี่ยม	li:am
เหล็ก	lek
เหล้น	len
เหล้ม	lem
เหล้า	lao
เหี่ย	hi:a
เห็น	hen
เห่า	hao
เอง	e:ŋ
เอทีเอ็ม	e:.thi:.em
เอน	e:n
เออ	ə:
เอา	ao
เอาโลด	ao.lo:t
เอิก	ək
เอิ้น	ə:n
เอี่ยม	i:am
เอื้อย	ʉ:ai
เอเซีย	e:.si:a
เอ็ด	et
เอ่ย	ə:i
เอ่าะเจ่าะ	ɔ.jɔ
เอ่าะเญาะ	ɔ.ɲɔ
เอ้ม	em
เอ้ย	ə:i
เอ้อเฮ้อ	ə:.hə:
เอ๊า	ao
เฮา	hao
เฮียง	hi:aŋ
เฮียน	hi:an
เฮ็ด	het
เฮ็ดกานเฮ็ดงาน	het.ga:n.het.ŋa:n
เฮ็ดงาน	het.ŋa:n
เฮ็ดนา	het.na:
เฮ็ดบุน	het.bun
เฮ็ดไฮ่	het.hai
เฮ้ย	hə:i
แก	gɛ:
แกง	gɛ:ŋ
แกะ	gɛ
แก่	gɛ:
แก่งจ่างป่าง	gɛŋ.ja:ŋ.pa:ŋ
แก้	gɛ:
แก้ง	gɛ:ŋ
แก้ม	gɛ:m
แก้ว	gɛ:o
แขน	khɛ:n
แข็ง	khɛŋ
แข็งแลง	khɛŋ.lɛ:ŋ
แข่ง	khɛŋ
แข้ว	khɛ:o
แค่	khɛ:
แจ้ง	jɛ:ŋ
แชะ	chɛ
แซง	sɛ:ŋ
แซบ	sɛ:p
แซม	sɛ:m
แซมพู	sɛ:m.phu:
แซ่	sɛ:
แซ่แข็ง	sɛ:.khɛŋ
แญง	ɲɛ:ŋ
แดง	dɛ:ŋ
แดด	dɛ:t
แตก	tɛ:k
แตกต่าง	tɛ:k.ta:ŋ
แตงโม	tɛ:ŋ.mo:
แต่	tɛ:
แต่กี้	tɛ:.gi:
แต่ง	tɛŋ
แต่งงาน	tɛŋ.ŋa:n
แต่งโต	tɛŋ.to:
แต่ละ	tɛ:.la
แต่ว่า	tɛ:.wa:
แต่ใส	tɛ:.sai
แถว	thɛ:o
แถะ	thɛ
แทน	thɛ:n
แท่ง	thɛŋ
แท้	thɛ:
แนบ	nɛ:p
แนม	nɛ:m
แนมเบิ่ง	nɛ:m.bəŋ
แนว	nɛ:o
แนวกิน	nɛ:o.gin
แนวขั้น	nɛ:o.khan
แนวค้อง	nɛ:o.khɔ:ŋ
แนวญก	nɛ:o.ɲok
แนวบำลุง	nɛ:o.bam.luŋ
แนวบิด	nɛ:o.bit
แนวมัก	nɛ:o.mak
แนวหนีบ	nɛ:o.ni:p
แนวโกนหนวด	nɛ:o.go:n.nu:at
แนวใส่	nɛ:o.sai
แนะนำ	nɛ.nam
แน่	nɛ:
แน่ใจ	nɛ:.jai
แบก	bɛ:k
แบน	bɛ:n
แบนเนม	bɛ:n.ne:m
แบบ	bɛ:p
แบ็ด	bɛt
แบ็ดเตอลี้	bɛt.tə:.li:
แบ็น	bɛn
แบ้ง	bɛŋ
แป	pɛ:
แปง	pɛ:ŋ
แปงสีฟัน	pɛ:ŋ.si:.fan
แปด	pɛ:t
แปน	pɛ:n
แป่บเดียว	pɛp.di:ao
แป้นพิม	pɛ:n.phim
แผ	phɛ:
แผนที่	phɛ:n.thi:
แผนผัง	phɛ:n.phaŋ
แผ่น	phɛn
แพง	phɛ:ŋ
แฟน	fɛ:n
แฟบ	fɛ:p
แมง	mɛ:ŋ
แมงวัน	mɛ:ŋ.wan
แมงหวี่	mɛ:ŋ.wi:
แมว	mɛ:o
แม่	mɛ:
แม่ค้า	mɛ:.kha:
แม่ซี	mɛ:.si:
แม่น	mɛ:n
แม่นบ่	mɛ:n.bɔ:
แม่น้ำ	mɛ:.na:m
แม่บ้าน	mɛ:.ba:n
แม่หญิง	mɛ:.ɲiŋ
แย้ก	yɛ:k
แลก	lɛ:k
แลง	lɛ:ŋ
แลบลิ้น	lɛ:p.lin
และ	lɛ
แล่น	lɛ:n
แล้ว	lɛ:o
แล้วแต่	lɛ:o.tɛ:
แว่นตา	wɛn.ta:
แสง	sɛ:ŋ
แหน้น	nɛn
แหลก	lɛ:k
แหลม	lɛ:m
แหล้ว	lɛ:o
แหวน	wɛ:n
แหวว	wɛ:o
แห่ง	hɛŋ
แห้ง	hɛ:ŋ
แห้งแล้ง	hɛ:ŋ.lɛ:ŋ
แห้น	hɛ:n
แอ	ɛ:
แออัด	ɛ:.at
แอ็นกอฮอ	ɛn.gɔ:.hɔ:
แอ็ปเปิ้น	ɛp.pən
แฮง	hɛ:ŋ
โกน	go:n
โก่งโด่ง	go:ŋ.do:ŋ
โคก	kho:k
โค้ง	kho:ŋ
โจก	jo:k
โจน	jo:n
โจ่งโป่ง	jo:ŋ.po:ŋ
โจ่โล่	jo:.lo:
